DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;DEPMUNI;CIUDADES28;Clase;P1987;P1988;P1988S1;P1989;P1990
601032;235;1;1;1;79.830016313;13001;1;Cabecera;2;1;1;2;1
601033;235;1;1;1;116.58963352;13001;1;Cabecera;1;1;1;1;1
601034;235;1;1;1;84.368930391;13001;1;Cabecera;2;1;3;2;1
601035;235;1;1;1;93.882138398;13001;1;Cabecera;1;1;8;2;1
601036;235;1;1;1;113.55307365;13001;1;Cabecera;2;1;3;2;1
601037;235;1;1;1;102.20890298;13001;1;Cabecera;2;1;8;2;1
601038;235;1;1;1;104.69716119;13001;1;Cabecera;2;1;8;1;1
601039;235;1;1;1;102.20890298;13001;1;Cabecera;1;1;8;2;1
601040;235;1;1;1;90.888033668;13001;1;Cabecera;2;1;1;1;1
601041;235;1;1;1;102.38367525;13001;1;Cabecera;1;1;8;1;1
601042;235;1;1;1;69.428416314;13001;1;Cabecera;2;1;3;2;1
601043;235;1;1;1;71.41200595;13001;1;Cabecera;2;1;3;1;1
601044;235;1;1;1;118.83085087;13001;1;Cabecera;2;1;1;1;1
601045;235;1;1;1;68.551882683;13001;1;Cabecera;2;1;2;1;1
601046;235;1;1;1;78.2392667;13001;1;Cabecera;2;1;3;1;1
601047;235;1;1;1;72.692422225;13001;1;Cabecera;2;1;2;2;1
601048;235;1;1;1;106.31370832;13001;1;Cabecera;2;1;1;2;1
601049;235;1;1;1;78.84686801;13001;1;Cabecera;2;1;2;2;1
601050;235;1;1;1;101.46542275;13001;1;Cabecera;2;1;1;2;1
601051;235;1;1;1;134.60897552;13001;1;Cabecera;1;1;1;2;1
601052;235;1;1;1;81.788381355;13001;1;Cabecera;2;1;1;1;1
601053;235;1;1;1;93.00997085;13001;1;Cabecera;1;1;8;1;1
601054;235;1;1;1;71.03534848;13001;1;Cabecera;2;1;8;2;1
601055;235;1;1;1;137.34155565;13001;1;Cabecera;2;1;2;1;1
601056;235;1;1;1;104.63996448;13001;1;Cabecera;1;1;2;1;1
601057;235;1;1;1;102.70859787;13001;1;Cabecera;2;1;1;3;1
601058;235;1;1;1;82.61601085;13001;1;Cabecera;1;1;2;1;2
601059;235;1;1;1;121.48431109;13001;1;Cabecera;1;1;1;1;1
601060;235;1;1;1;139.04039988;13001;1;Cabecera;2;1;1;2;1
601061;235;1;1;1;92.898270417;13001;1;Cabecera;2;1;1;1;1
601062;235;1;1;1;109.17613869;13001;1;Cabecera;2;1;1;2;1
601063;235;1;1;1;123.48427686;13001;1;Cabecera;1;1;2;1;1
601064;235;1;1;1;106.46167519;13001;1;Cabecera;2;1;1;1;1
601065;235;1;1;1;118.83085087;13001;1;Cabecera;1;1;1;2;1
601066;235;1;1;1;95.857116094;13001;1;Cabecera;2;1;1;1;1
601067;235;1;1;1;114.00413203;13001;1;Cabecera;2;1;2;2;1
601068;235;1;1;1;101.55782226;13001;1;Cabecera;1;1;1;1;1
601069;235;1;1;1;97.610451653;13001;1;Cabecera;2;1;1;2;1
601070;235;1;1;1;103.86438717;13001;1;Cabecera;1;1;2;1;1
601071;235;1;1;1;113.64393776;13001;1;Cabecera;2;1;1;2;1
601072;235;1;1;1;99.210635573;13001;1;Cabecera;2;1;2;4;1
601073;235;1;1;1;91.75514321;13001;1;Cabecera;3;1;2;3;1
601074;235;1;1;1;98.709874033;13001;1;Cabecera;3;1;2;3;1
601075;235;1;1;1;106.17358819;13001;1;Cabecera;2;1;1;1;1
601076;235;1;1;1;111.40319509;13001;1;Cabecera;2;1;1;1;1
601078;235;1;1;1;110.60634187;13001;1;Cabecera;2;1;1;2;1
601079;235;1;1;1;114.6938326;13001;1;Cabecera;2;1;2;1;1
601080;235;1;1;1;116.59513503;13001;1;Cabecera;2;1;1;1;1
601081;235;1;1;1;111.59888258;13001;1;Cabecera;2;1;2;1;1
601082;235;1;1;1;96.095863094;13001;1;Cabecera;1;1;2;1;1
601083;235;1;1;1;116.59513503;13001;1;Cabecera;1;1;2;1;1
601084;235;1;1;1;121.19622409;13001;1;Cabecera;1;1;2;1;1
601085;235;1;1;1;136.32593638;13001;1;Cabecera;2;1;2;1;1
601086;235;1;1;1;111.50062143;13001;1;Cabecera;2;1;3;3;1
601087;235;1;1;1;118.83085087;13001;1;Cabecera;2;1;3;4;1
601088;235;1;1;1;108.3656052;13001;1;Cabecera;2;1;1;1;1
601089;235;1;1;1;112.49599851;13001;1;Cabecera;2;1;1;1;1
601090;235;1;1;1;111.61196502;13001;1;Cabecera;2;1;1;1;1
601091;235;1;1;1;122.23214841;13001;1;Cabecera;2;1;1;1;1
601092;235;1;1;1;117.57334104;13001;1;Cabecera;2;1;1;3;1
601093;235;1;1;1;109.02817182;13001;1;Cabecera;2;1;1;1;1
601094;235;1;1;1;98.709874033;13001;1;Cabecera;1;1;1;1;1
601095;235;1;1;1;101.65608341;13001;1;Cabecera;2;1;2;1;1
601096;235;1;1;1;111.6485883;13001;1;Cabecera;1;1;3;1;1
601097;235;1;1;1;129.76599604;13001;1;Cabecera;2;1;1;3;1
601098;235;1;1;1;128.02877724;13001;1;Cabecera;2;1;1;1;1
601099;235;1;1;1;123.53253744;13001;1;Cabecera;1;1;1;1;1
601100;235;1;1;1;158.0217824;13001;1;Cabecera;2;1;1;1;1
601101;235;1;1;1;121.49396114;13001;1;Cabecera;1;1;2;1;1
601102;235;1;1;1;101.84674407;13001;1;Cabecera;1;1;2;1;1
601103;235;1;1;1;125.53495396;13001;1;Cabecera;2;1;1;3;1
601104;235;1;1;1;114.21508493;13001;1;Cabecera;2;1;1;1;1
601105;235;1;1;1;111.16984064;13001;1;Cabecera;2;1;1;1;1
601106;235;1;1;1;88.473165146;13001;1;Cabecera;1;1;1;1;1
601107;235;1;1;1;97.610451653;13001;1;Cabecera;2;1;1;1;1
601108;235;1;1;1;117.57334104;13001;1;Cabecera;2;1;1;2;1
601109;235;1;1;1;107.17639693;13001;1;Cabecera;2;1;1;1;1
601110;235;1;1;1;116.59513503;13001;1;Cabecera;2;1;1;2;1
601111;235;1;1;1;124.68717231;13001;1;Cabecera;2;1;1;1;1
601112;235;1;1;1;109.59729859;13001;1;Cabecera;2;1;2;1;1
601113;235;1;1;1;101.27476208;13001;1;Cabecera;2;1;1;3;1
601114;235;1;1;1;101.46542275;13001;1;Cabecera;1;1;2;1;1
601115;235;1;1;1;101.46542275;13001;1;Cabecera;2;1;3;1;1
601116;235;1;1;1;122.10498581;13001;1;Cabecera;2;1;2;1;1
601117;235;1;1;1;97.801112317;13001;1;Cabecera;2;1;2;1;1
601118;235;1;1;1;105.98292753;13001;1;Cabecera;2;1;3;2;1
601119;235;1;1;1;116.54906192;13001;1;Cabecera;2;1;2;1;1
601120;235;1;1;1;105.79827333;13001;1;Cabecera;1;1;1;1;1
601121;235;1;1;1;166.28388944;13001;1;Cabecera;1;1;1;3;1
601122;235;1;1;1;111.40223829;13001;1;Cabecera;2;1;1;1;1
601123;235;1;1;1;152.84280041;13001;1;Cabecera;2;1;1;2;1
601124;235;1;1;1;127.7280261;13001;1;Cabecera;2;1;1;3;1
601125;235;1;1;1;128.46437526;13001;1;Cabecera;2;1;1;1;1
601126;235;1;1;1;155.91772641;13001;1;Cabecera;2;1;1;1;1
601127;235;1;1;1;135.92723961;13001;1;Cabecera;1;1;1;1;1
601128;235;1;1;1;124.22369287;13001;1;Cabecera;2;1;1;1;1
601129;235;1;1;1;176.84784129;13001;1;Cabecera;2;1;1;1;1
601130;235;1;1;1;112.01421976;13001;1;Cabecera;1;1;2;1;1
601131;235;1;1;1;148.8447255;13001;1;Cabecera;1;1;3;3;1
601132;235;1;1;1;107.90795546;13001;1;Cabecera;2;1;3;1;1
601133;235;1;1;1;172.2620806;13001;1;Cabecera;2;1;2;2;1
601134;235;1;1;1;157.43999398;13001;1;Cabecera;2;1;2;1;1
601135;235;1;1;1;101.88860305;13001;1;Cabecera;2;1;3;1;1
601136;235;1;1;1;98.462036473;13001;1;Cabecera;2;1;2;1;1
601137;235;1;1;1;117.57334104;13001;1;Cabecera;1;1;1;1;1
601138;235;1;1;1;111.512291;13001;1;Cabecera;1;1;1;1;1
601139;235;1;1;1;102.51931155;13001;1;Cabecera;2;1;2;1;1
601140;235;1;1;1;84.941912849;13001;1;Cabecera;1;1;2;1;1
601141;235;1;1;1;101.31044677;13001;1;Cabecera;1;1;1;2;1
601142;235;1;1;1;113.07710124;13001;1;Cabecera;2;2;;4;1
601143;235;1;1;1;117.10784271;13001;1;Cabecera;2;1;1;1;1
601144;235;1;1;1;84.356354243;13001;1;Cabecera;2;1;1;2;1
601145;235;1;1;1;127.99424139;13001;1;Cabecera;1;1;1;1;1
601146;235;1;1;1;115.38026891;13001;1;Cabecera;1;1;1;2;1
601147;235;1;1;1;113.07710124;13001;1;Cabecera;2;1;1;1;1
601148;235;1;1;1;98.462036473;13001;1;Cabecera;2;1;2;2;1
601149;235;1;1;1;171.56077204;13001;1;Cabecera;1;1;1;1;1
601150;235;1;1;1;93.00997085;13001;1;Cabecera;2;1;2;3;1
601151;235;1;1;1;101.46542275;13001;1;Cabecera;1;1;2;1;1
601152;235;1;1;1;104.25665614;13001;1;Cabecera;1;1;2;1;1
601153;235;1;1;1;104.69716119;13001;1;Cabecera;2;1;2;3;1
601154;235;1;1;1;100.95029468;13001;1;Cabecera;2;1;2;3;1
601155;235;1;1;1;106.87887378;13001;1;Cabecera;2;1;2;3;1
601156;235;1;1;1;92.835198575;13001;1;Cabecera;2;1;2;2;1
601157;235;1;1;1;129.19656045;13001;1;Cabecera;2;1;2;2;1
601158;235;1;1;1;130.35285493;13001;1;Cabecera;2;1;3;2;1
601159;235;1;1;1;102.41687825;13001;1;Cabecera;2;1;2;2;1
601160;235;1;1;1;91.75514321;13001;1;Cabecera;2;1;2;1;1
601161;235;1;1;1;92.283418414;13001;1;Cabecera;2;1;2;1;1
601162;235;1;1;1;109.599319;13001;1;Cabecera;1;1;2;1;1
601163;235;1;1;1;100.79601442;13001;1;Cabecera;1;1;2;1;1
601164;235;1;1;1;102.41687825;13001;1;Cabecera;2;1;2;2;1
601165;235;1;1;1;101.27476208;13001;1;Cabecera;2;1;2;1;1
601166;235;1;1;1;105.98292753;13001;1;Cabecera;1;1;2;1;1
601167;235;1;1;1;106.65233586;13001;1;Cabecera;1;1;2;1;1
601168;235;1;1;1;110.64138725;13001;1;Cabecera;1;2;;1;1
601170;235;1;1;1;111.12013492;13001;1;Cabecera;2;1;2;4;1
601171;235;1;1;1;146.93258825;13001;1;Cabecera;1;1;1;1;1
601172;235;1;1;1;106.46167519;13001;1;Cabecera;2;1;2;1;1
601173;235;1;1;1;110.92947425;13001;1;Cabecera;2;1;2;4;1
601174;235;1;1;1;134.95290915;13001;1;Cabecera;2;1;2;3;1
601175;235;1;1;1;111.50062143;13001;1;Cabecera;3;1;2;3;1
601176;235;1;1;1;116.11638736;13001;1;Cabecera;2;1;2;3;1
601177;235;1;1;1;111.50062143;13001;1;Cabecera;3;1;2;2;1
601178;235;1;1;1;106.70006518;13001;1;Cabecera;1;1;1;1;1
601179;235;1;1;1;113.66573683;13001;1;Cabecera;1;1;1;2;1
601180;235;1;1;1;77.119563437;13001;1;Cabecera;1;1;1;1;1
601181;235;1;1;1;102.22621759;13001;1;Cabecera;1;1;2;2;1
601182;235;1;1;1;150.92539198;13001;1;Cabecera;1;1;2;1;1
601183;235;1;1;1;100.79601442;13001;1;Cabecera;1;1;2;1;1
601184;235;1;1;1;101.46542275;13001;1;Cabecera;1;1;2;2;1
601185;235;1;1;1;375.98489133;00000;0;Centro poblado y rur;1;1;1;3;1
601186;235;1;1;1;584.84057921;00000;0;Centro poblado y rur;1;1;1;2;1
601187;235;1;1;1;893.67934583;00000;0;Centro poblado y rur;1;1;1;3;1
601188;235;1;1;1;626.62476857;00000;0;Centro poblado y rur;1;1;1;1;1
601189;235;1;1;1;392.82587494;00000;0;Centro poblado y rur;1;1;1;1;1
601190;235;1;1;1;822.39624735;00000;0;Centro poblado y rur;1;1;1;1;1
601192;235;1;1;1;370.70522418;00000;0;Centro poblado y rur;2;1;1;1;1
601193;235;1;1;1;732.49586789;00000;0;Centro poblado y rur;1;1;1;3;1
601194;235;1;1;1;447.50573127;00000;0;Centro poblado y rur;2;1;1;3;1
601195;235;1;1;1;414.15219601;00000;0;Centro poblado y rur;1;1;1;1;1
601196;235;1;1;1;636.16350676;00000;1;Cabecera;2;1;4;1;1
601197;235;1;1;1;457.03643374;00000;1;Cabecera;1;1;4;1;1
601198;235;1;1;1;636.16350676;00000;1;Cabecera;2;1;4;1;1
601199;235;1;1;1;870.73614346;00000;1;Cabecera;1;1;4;1;1
601200;235;1;1;1;677.02011135;00000;1;Cabecera;1;1;4;1;1
601201;235;1;1;1;727.94762533;00000;1;Cabecera;1;1;2;1;1
601202;235;1;1;1;919.16499009;00000;1;Cabecera;1;1;2;1;1
601203;235;1;1;1;832.77642501;00000;1;Cabecera;1;1;4;1;1
601204;235;1;1;1;1289.9794718;00000;1;Cabecera;1;1;1;1;1
601205;235;1;1;1;1014.3892735;00000;1;Cabecera;2;1;2;2;1
601206;235;1;1;1;775.78957115;00000;1;Cabecera;2;1;3;1;1
601207;235;1;1;1;570.36593668;00000;1;Cabecera;2;1;4;2;1
601208;235;1;1;1;585.41581252;00000;1;Cabecera;1;1;3;1;1
601209;235;1;1;1;1000.5884563;00000;1;Cabecera;2;1;3;1;1
601210;235;1;1;1;1071.9200616;00000;1;Cabecera;2;1;2;1;1
601211;235;1;1;1;983.42756755;00000;1;Cabecera;1;1;3;1;1
601212;235;1;1;1;967.48460385;00000;1;Cabecera;1;1;2;2;1
601213;235;1;1;1;792.64642831;00000;1;Cabecera;1;1;2;1;1
601214;235;1;1;1;967.48460385;00000;1;Cabecera;1;1;2;1;1
601215;235;1;1;1;826.21832061;00000;1;Cabecera;1;1;2;1;1
601216;235;1;1;1;820.31151299;00000;1;Cabecera;1;1;3;1;1
601217;235;1;1;1;642.25457509;00000;1;Cabecera;1;1;2;1;1
601218;235;1;1;1;1110.2734338;00000;1;Cabecera;1;1;2;2;1
601219;235;1;1;1;719.55749521;00000;1;Cabecera;1;1;2;2;1
601220;235;1;1;1;785.07102613;00000;1;Cabecera;1;1;2;1;1
601221;235;1;1;1;774.53127993;00000;1;Cabecera;1;1;2;1;1
601222;235;1;1;1;1015.7628341;00000;1;Cabecera;2;1;2;2;1
601223;235;1;1;1;601.82776739;00000;1;Cabecera;1;1;1;2;1
601224;235;1;1;1;704.11934539;00000;1;Cabecera;2;1;2;2;1
601225;235;1;1;1;764.5343781;00000;1;Cabecera;2;1;2;2;1
601226;235;1;1;1;762.66134088;00000;1;Cabecera;1;1;2;1;1
601227;235;1;1;1;927.10709932;00000;1;Cabecera;2;1;2;1;1
601228;235;1;1;1;692.5655687;00000;1;Cabecera;1;1;2;1;1
601229;235;1;1;1;811.5225969;00000;1;Cabecera;2;1;2;1;1
601230;235;1;1;1;620.59675931;00000;1;Cabecera;2;1;2;1;1
601231;235;1;1;1;655.83660493;00000;1;Cabecera;2;1;2;1;1
601232;235;1;1;1;634.85177131;00000;1;Cabecera;1;1;1;1;1
601233;235;1;1;1;744.54388807;00000;1;Cabecera;1;1;1;1;1
601234;235;1;1;1;645.44273328;00000;1;Cabecera;1;1;1;1;1
601235;235;1;1;1;679.43095485;00000;1;Cabecera;1;1;1;1;1
601236;235;1;1;1;827.81173644;00000;1;Cabecera;1;1;1;1;1
601237;235;1;1;1;623.40233396;00000;1;Cabecera;1;1;1;1;1
601238;235;1;1;1;623.40233396;00000;1;Cabecera;1;1;1;1;1
601239;235;1;1;1;839.90538666;00000;1;Cabecera;1;1;1;1;1
601240;235;1;1;1;510.65522042;00000;1;Cabecera;1;1;1;1;1
601241;235;1;1;1;1087.0895278;00000;1;Cabecera;2;1;2;2;1
601242;235;1;1;1;758.50715027;00000;1;Cabecera;1;1;2;2;1
601243;235;1;1;1;714.06154199;00000;1;Cabecera;2;1;2;1;1
601244;235;1;1;1;302.25002569;00000;1;Cabecera;1;1;3;1;1
601245;235;1;1;1;357.52262764;00000;1;Cabecera;1;1;3;2;1
601246;235;1;1;1;304.30476778;00000;1;Cabecera;1;1;3;1;1
601247;235;1;1;1;622.26161241;00000;1;Cabecera;1;1;3;1;1
601248;235;1;1;1;363.04896697;00000;1;Cabecera;1;1;3;1;1
601249;235;1;1;1;311.90042373;00000;1;Cabecera;1;1;3;2;1
601250;235;1;1;1;772.85581683;00000;1;Cabecera;1;1;2;1;1
601251;235;1;1;1;357.52262764;00000;1;Cabecera;1;1;3;1;1
601252;235;1;1;1;509.5935397;00000;1;Cabecera;1;1;3;2;1
601253;235;1;1;1;306.67309507;00000;1;Cabecera;1;1;3;1;1
601254;235;1;1;1;1034.4928624;00000;1;Cabecera;2;1;1;1;1
601255;235;1;1;1;556.62491822;00000;1;Cabecera;1;1;2;1;1
601256;235;1;1;1;915.68503969;00000;1;Cabecera;2;1;2;2;1
601257;235;1;1;1;1297.8448681;00000;1;Cabecera;2;1;2;2;1
601258;235;1;1;1;752.69277535;00000;1;Cabecera;2;1;2;2;1
601259;235;1;1;1;921.03593054;00000;1;Cabecera;2;1;2;1;1
601260;235;1;1;1;1004.4545927;00000;1;Cabecera;2;1;2;1;1
601261;235;1;1;1;993.11314788;00000;1;Cabecera;2;1;2;1;1
601262;235;1;1;1;1273.9838492;00000;1;Cabecera;1;1;2;1;1
601263;235;1;1;1;968.7521411;00000;1;Cabecera;2;1;2;2;1
601264;235;1;1;1;893.8065691;00000;1;Cabecera;2;1;2;2;1
601265;235;1;1;1;893.8065691;00000;1;Cabecera;2;1;2;2;1
601266;235;1;1;1;1007.8620789;00000;1;Cabecera;2;1;2;2;1
601267;235;1;1;1;1580.0150378;00000;1;Cabecera;2;1;2;2;1
601268;235;1;1;1;760.76191945;00000;1;Cabecera;1;1;2;1;1
601269;235;1;1;1;1494.0123039;00000;1;Cabecera;1;1;2;2;1
601270;235;1;1;1;851.11658902;00000;1;Cabecera;1;1;3;2;1
601271;235;1;1;1;498.37242934;00000;1;Cabecera;1;1;3;2;1
601272;235;1;1;1;518.70130871;00000;1;Cabecera;1;1;2;1;1
601273;235;1;1;1;960.89013851;00000;1;Cabecera;1;1;2;1;1
601274;235;1;1;1;680.62500211;00000;1;Cabecera;2;1;2;2;1
601275;235;1;1;1;628.54046249;00000;1;Cabecera;2;1;2;1;1
601276;235;1;1;1;632.57738401;00000;1;Cabecera;2;1;2;2;1
601277;235;1;1;1;680.62500211;00000;1;Cabecera;2;1;2;2;1
601278;235;1;1;1;1160.7947806;00000;1;Cabecera;1;1;2;2;1
601279;235;1;1;1;541.51568084;00000;1;Cabecera;1;1;2;1;1
601280;235;1;1;1;849.49845911;00000;1;Cabecera;1;1;2;2;1
601281;235;1;1;1;942.7865899;00000;1;Cabecera;1;1;1;2;1
601282;235;1;1;1;1157.0562694;00000;1;Cabecera;1;1;3;2;1
601283;235;1;1;1;599.83307075;00000;1;Cabecera;1;1;3;1;1
601284;235;1;1;1;1157.0562694;00000;1;Cabecera;1;1;3;1;1
601285;235;1;1;1;768.93770912;00000;1;Cabecera;1;1;3;1;1
601286;235;1;1;1;967.42926858;00000;1;Cabecera;1;1;1;1;1
601287;235;1;1;1;1909.1428446;00000;1;Cabecera;2;1;1;1;1
601288;235;1;1;1;1115.0133503;00000;1;Cabecera;1;1;1;4;1
601289;235;1;1;1;766.57770484;00000;1;Cabecera;2;1;1;2;1
601290;235;1;1;1;1157.0562694;00000;1;Cabecera;2;1;3;2;1
601291;235;1;1;1;342.75483483;00000;1;Cabecera;2;1;3;1;1
601292;235;1;1;1;845.50681732;00000;1;Cabecera;1;1;3;1;1
601293;235;1;1;1;1157.0562694;00000;1;Cabecera;1;1;3;2;1
601294;235;1;1;1;397.45954309;00000;1;Cabecera;1;1;3;1;1
601295;235;1;1;1;1157.0562694;00000;1;Cabecera;1;1;3;1;1
601296;235;1;1;1;1157.0562694;00000;1;Cabecera;1;1;3;1;1
601297;235;1;1;1;831.4350515;00000;1;Cabecera;2;1;3;1;1
601298;235;1;1;1;397.45954309;00000;1;Cabecera;1;1;3;1;1
601299;235;1;1;1;1157.0562694;00000;1;Cabecera;1;1;3;1;1
601300;235;1;1;1;834.02461666;00000;1;Cabecera;1;1;3;1;1
601301;235;1;1;1;477.28571114;00000;1;Cabecera;2;1;1;2;1
601302;235;1;1;1;294.62080934;00000;1;Cabecera;2;1;3;2;1
601303;235;1;1;1;1909.1428446;00000;1;Cabecera;1;1;1;2;1
601304;235;1;1;1;294.62080934;00000;1;Cabecera;1;1;3;1;1
601305;235;1;1;1;679.31729968;00000;1;Cabecera;2;1;3;2;1
601306;235;1;1;1;1098.2498472;00000;1;Cabecera;1;1;3;2;1
601307;235;1;1;1;424.7671016;00000;1;Cabecera;1;1;3;1;1
601308;235;1;1;1;567.83533692;00000;1;Cabecera;1;1;3;2;1
601309;235;1;1;1;1414.1798849;00000;1;Cabecera;1;1;3;1;1
601310;235;1;1;1;567.83533692;00000;1;Cabecera;2;1;3;3;1
601311;235;1;1;1;567.83533692;00000;1;Cabecera;2;1;3;1;1
601312;235;1;1;1;1098.2498472;00000;1;Cabecera;1;1;3;1;1
601313;235;1;1;1;1178.4832374;00000;1;Cabecera;2;1;3;1;1
601314;235;1;1;1;1178.4832374;00000;1;Cabecera;1;1;3;1;1
601315;235;1;1;1;597.17856085;00000;1;Cabecera;2;1;3;1;1
601316;235;1;1;1;565.96761571;00000;1;Cabecera;1;1;1;4;1
601317;235;1;1;1;818.7048714;00000;1;Cabecera;1;1;1;3;1
601318;235;1;1;1;253.38309858;00000;1;Cabecera;1;1;1;4;1
601319;235;1;1;1;793.51695345;00000;1;Cabecera;1;1;1;2;1
601320;235;1;1;1;622.92495637;00000;1;Cabecera;1;1;1;4;1
601321;235;1;1;1;253.38309858;00000;1;Cabecera;5;1;1;4;1
601322;235;1;1;1;397.75410642;00000;1;Cabecera;1;1;1;2;1
601323;235;1;1;1;393.26039199;00000;1;Cabecera;1;1;1;3;1
601324;235;1;1;1;325.33884349;00000;1;Cabecera;1;1;1;2;1
601325;235;1;1;1;351.63212235;00000;1;Cabecera;1;1;1;3;1
601326;235;1;1;1;700.85881435;00000;1;Cabecera;1;1;1;2;1
601327;235;1;1;1;360.11168155;00000;1;Cabecera;1;1;1;1;1
601328;235;1;1;1;232.66154325;00000;1;Cabecera;1;1;2;1;1
601329;235;1;1;1;505.06751964;00000;1;Cabecera;1;1;1;1;1
601330;235;1;1;1;765.40716289;00000;1;Cabecera;1;1;1;1;1
601331;235;1;1;1;246.46882083;00000;1;Cabecera;1;1;2;1;1
601332;235;1;1;1;546.28915948;00000;1;Cabecera;1;1;1;1;1
601333;235;1;1;1;191.95689286;00000;1;Cabecera;1;1;1;2;1
601334;235;1;1;1;528.2525908;00000;1;Cabecera;1;1;2;1;1
601335;235;1;1;1;503.66977526;00000;1;Cabecera;1;1;1;1;1
601336;235;1;1;1;219.03879699;00000;1;Cabecera;1;1;1;1;1
601338;235;1;1;1;72.293908054;00000;1;Cabecera;2;1;2;1;1
601339;235;1;1;1;49.067420227;00000;1;Cabecera;2;1;2;2;1
601340;235;1;1;1;87.529954506;00000;1;Cabecera;2;1;2;2;1
601341;235;1;1;1;54.625996914;00000;1;Cabecera;3;1;2;2;1
601342;235;1;1;1;72.293908054;00000;1;Cabecera;2;1;2;1;1
601343;235;1;1;1;52.536709307;00000;1;Cabecera;2;1;2;2;1
601344;235;1;1;1;61.917766857;00000;1;Cabecera;2;1;2;2;1
601345;235;1;1;1;54.625996914;00000;1;Cabecera;2;1;2;1;1
601346;235;1;1;1;54.625996914;00000;1;Cabecera;2;1;2;1;1
601347;235;1;1;1;52.536709307;00000;1;Cabecera;2;1;2;1;1
601348;235;1;1;1;81.234878702;00000;1;Cabecera;2;1;1;3;1
601349;235;1;1;1;88.558299661;00000;1;Cabecera;1;1;3;2;1
601351;235;1;1;1;931.94836139;11001;1;Cabecera;2;1;2;1;1
601352;235;1;1;1;862.86227271;11001;1;Cabecera;1;1;1;1;1
601353;235;1;1;1;911.34442808;11001;1;Cabecera;3;1;3;2;1
601354;235;1;1;1;505.89548296;00000;1;Cabecera;1;1;3;1;1
601355;235;1;1;1;481.77823364;00000;1;Cabecera;1;1;3;2;1
601356;235;1;1;1;242.1769422;00000;1;Cabecera;1;1;3;1;1
601357;235;1;1;1;579.08626488;00000;1;Cabecera;1;1;3;2;1
601358;235;1;1;1;559.73112208;00000;1;Cabecera;2;1;3;1;1
601359;235;1;1;1;781.98278163;00000;1;Cabecera;1;1;3;1;1
601360;235;1;1;1;761.46870222;00000;1;Cabecera;1;1;3;1;1
601361;235;1;1;1;221.94220438;00000;1;Cabecera;2;1;3;2;1
601362;235;1;1;1;275.99210886;00000;1;Cabecera;2;1;3;2;1
601363;235;1;1;1;595.02807912;00000;1;Cabecera;2;1;3;2;1
601364;235;1;1;1;483.81709409;00000;1;Cabecera;1;1;2;1;1
601365;235;1;1;1;379.21297064;00000;1;Cabecera;1;1;2;1;1
601366;235;1;1;1;201.76564034;00000;1;Cabecera;1;1;2;1;1
601367;235;1;1;1;268.2414417;00000;1;Cabecera;1;1;3;1;1
601368;235;1;1;1;711.87459989;00000;1;Cabecera;2;1;3;2;1
601369;235;1;1;1;379.66557934;00000;1;Cabecera;2;1;3;1;1
601370;235;1;1;1;383.32237341;00000;1;Cabecera;2;1;3;2;1
601371;235;1;1;1;62.437774681;50001;1;Cabecera;1;1;3;1;1
601372;235;1;1;1;90.695795064;50001;1;Cabecera;2;1;1;1;1
601373;235;1;1;1;54.529544196;50001;1;Cabecera;2;1;3;2;1
601374;235;1;1;1;76.80782504;50001;1;Cabecera;1;1;3;1;1
601375;235;1;1;1;64.985839457;50001;1;Cabecera;1;1;4;1;1
601376;235;1;1;1;42.449023946;50001;1;Cabecera;1;1;1;2;1
601377;235;1;1;1;69.556173658;50001;1;Cabecera;1;1;5;2;1
601378;235;1;1;1;108.50985235;50001;1;Cabecera;2;1;1;2;1
601379;235;1;1;1;142.11301259;50001;1;Cabecera;1;1;1;1;1
601380;235;1;1;1;61.129065183;50001;1;Cabecera;1;1;3;2;1
601381;235;1;1;1;70.984557627;50001;1;Cabecera;1;1;3;2;1
601382;235;1;1;1;118.82949967;50001;1;Cabecera;2;1;3;2;1
601383;235;1;1;1;79.18902424;50001;1;Cabecera;1;1;3;1;1
601384;235;1;1;1;65.794268784;50001;1;Cabecera;1;1;2;2;1
601385;235;1;1;1;95.89007018;50001;1;Cabecera;1;1;3;1;1
601386;235;1;1;1;92.341200865;50001;1;Cabecera;1;1;3;1;1
601387;235;1;1;1;76.342834945;50001;1;Cabecera;1;1;3;1;1
601388;235;1;1;1;66.57871112;50001;1;Cabecera;1;1;2;1;1
601389;235;1;1;1;93.068640325;50001;1;Cabecera;2;1;3;2;1
601390;235;1;1;1;91.629245437;50001;1;Cabecera;1;1;3;1;1
601391;235;1;1;1;71.980750056;50001;1;Cabecera;2;1;2;2;1
601392;235;1;1;1;85.481117756;50001;1;Cabecera;1;1;3;1;1
601393;235;1;1;1;63.51346612;50001;1;Cabecera;2;1;2;2;1
601394;235;1;1;1;104.87692986;50001;1;Cabecera;1;1;1;1;1
601395;235;1;1;1;106.52593779;50001;1;Cabecera;1;1;1;2;1
601396;235;1;1;1;77.968829605;50001;1;Cabecera;2;1;5;2;1
601397;235;1;1;1;97.015436681;50001;1;Cabecera;2;1;3;1;1
601398;235;1;1;1;57.871921254;50001;1;Cabecera;1;1;3;1;1
601399;235;1;1;1;95.491998219;50001;1;Cabecera;2;1;1;1;1
601400;235;1;1;1;85.669535518;50001;1;Cabecera;2;1;1;1;1
