DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;DEPMUNI;CIUDADES28;Clase;P1987;P1988;P1988S1;P1989;P1990
600081;235;1;1;1;88.246847413;50001;1;Cabecera;2;1;1;2;1
600082;235;1;1;1;45.221782186;50001;1;Cabecera;2;1;1;2;1
600083;235;1;1;1;46.005322915;50001;1;Cabecera;1;1;1;1;3
600084;235;1;1;1;47.242924239;50001;1;Cabecera;2;1;1;2;1
600085;235;1;1;1;47.447742749;50001;1;Cabecera;2;1;1;1;1
600086;235;1;1;1;115.80949826;50001;1;Cabecera;2;1;1;2;1
600087;235;1;1;1;50.743027933;50001;1;Cabecera;1;1;1;4;1
600088;235;1;1;1;65.775486993;50001;1;Cabecera;1;1;1;2;1
600089;235;1;1;1;108.12077742;50001;1;Cabecera;2;1;1;1;1
600090;235;1;1;1;101.06956974;50001;1;Cabecera;1;1;1;1;1
600091;235;1;1;1;101.6652386;50001;1;Cabecera;1;1;1;2;1
600092;235;1;1;1;56.198385694;50001;1;Cabecera;1;1;1;1;1
600093;235;1;1;1;83.002095827;50001;1;Cabecera;1;1;1;2;1
600094;235;1;1;1;75.179988157;50001;1;Cabecera;1;1;1;1;1
600095;235;1;1;1;100.24029958;50001;1;Cabecera;2;1;1;1;1
600096;235;1;1;1;137.31803266;50001;1;Cabecera;1;1;1;2;1
600097;235;1;1;1;57.112354791;50001;1;Cabecera;1;1;1;2;1
600098;235;1;1;1;128.87376218;50001;1;Cabecera;1;1;1;1;1
600099;235;1;1;1;116.60887937;50001;1;Cabecera;1;1;9;4;1
600100;235;1;1;1;45.240198486;50001;1;Cabecera;2;1;1;2;1
600101;235;1;1;1;122.39712499;50001;1;Cabecera;1;1;1;1;1
600102;235;1;1;1;98.462637175;50001;1;Cabecera;2;1;3;1;1
600103;235;1;1;1;118.88601126;50001;1;Cabecera;1;1;1;1;1
600104;235;1;1;1;139.01242811;50001;1;Cabecera;1;1;1;2;1
600105;235;1;1;1;60.65345016;50001;1;Cabecera;1;1;3;2;1
600106;235;1;1;1;54.417477038;50001;1;Cabecera;3;1;3;2;1
600107;235;1;1;1;98.944813474;50001;1;Cabecera;1;1;2;3;1
600108;235;1;1;1;111.27011363;50001;1;Cabecera;2;1;3;3;1
600109;235;1;1;1;96.275317714;50001;1;Cabecera;1;1;2;1;1
